SN,mB,mB_err,x1,x1_err,c,c_err,mu_1,mu_2,mu_err_1,mu_err_2,HR_1,HR_2,Outlier,Cluster,Cluster z,Cluster z (HD),r500 (Mpc),Projected r/r500,NED Host Galaxy,Ks/W1 log(M_stellar),Ks/W1 log(M_stellar)_err,Host/SN z,Host SFR
1992A,12.524,0.006,-0.748,0.066,0.001,0.004,31.669,31.693,0.422,0.416,-0.221,-0.197,n,MCXC J0338.4-3526,0.0051,0.0056,0.4,0.6,NGC 1380,10.15431,0.04605,0.0063,Q
2000dk,15.245,0.003,-2.379,0.027,-0.034,0.002,34.257,34.29,0.201,0.188,-0.084,-0.05,n,MCXC J0107.4+3227,0.017,0.017,0.52,0.14,NGC 0382,10.2905,0.0044,0.0174,Q
2005eu,16.319,0.006,0.482,0.05,-0.138,0.004,35.959,35.977,0.166,0.15,-0.054,-0.036,n,MCXC J0228.1+2811,0.0353,0.0362,0.61,0.41,WISEA J022743.32+281037.7,9.39359,0.05808,0.0345,SF
2007ci,15.814,0.005,-2.782,0.029,0.005,0.004,34.679,34.715,0.183,0.169,-0.245,-0.209,n,MCXC J1144.6+1945,0.0214,0.0222,0.9,0.47,NGC 3873,10.54482,0.04204,0.018,Q
2007fr,18.072,0.011,-2.336,0.072,-0.019,0.01,37.054,37.087,0.161,0.145,0.225,0.258,n,MCXC J2137.1+0026,0.0509,0.0521,0.41,0.1,N/A,N/A,N/A,0.049,N/A
2007on,12.958,0.001,-2.065,0.005,0.004,0.001,31.921,31.952,0.421,0.416,0.031,0.062,n,MCXC J0338.4-3526,0.0051,0.0056,0.4,0.14,NGC 1404,10.34834,0.04605,0.0065,Q
2008L,15.149,0.008,-1.825,0.033,-0.117,0.005,34.432,34.463,0.201,0.188,0.08,0.111,n,MCXC J0319.7+4130,0.0179,0.0171,1.29,0.5,NGC 1259,10.12799,0.04605,0.0194,Q
2008Q,13.367,0.005,-1.761,0.069,-0.032,0.004,32.456,32.486,0.355,0.348,0.116,0.146,n,MCXC J0124.8+0932,0.0079,0.0068,0.21,0.11,NGC 0524,10.22074,0.04605,0.008,Q
2008bf,15.631,0.005,0.395,0.038,-0.11,0.003,35.192,35.211,0.176,0.161,-0.1,-0.081,n,MCXC J1204.1+2020,0.0252,0.0262,0.48,0.41,NGC 4055,10.82131,0.04405,0.0244,Q
2009eu,17.648,0.032,-2.36,0.19,0.237,0.021,36.017,36.047,0.174,0.159,0.403,0.433,y,MCXC J1628.6+3932,0.0299,0.0303,1.0,0.02,LEDA 3084828,10.11569,0.036,0.0292,Q
2010ai,15.92,0.01,-1.685,0.048,-0.07,0.007,35.11,35.14,0.183,0.169,0.162,0.192,n,MCXC J1259.7+2756,0.0231,0.0224,1.14,0.13,WISEA J125925.01+275948.2,8.85894,0.0661,0.0183,Q
2014ai,16.258,0.035,-1.447,0.184,0.089,0.021,35.101,35.127,0.188,0.174,0.171,0.197,n,MCXC J0919.8+3345,0.023,0.0222,0.45,0.07,NGC 2832,10.88473,0.04204,0.023,Q
2015ar,14.932,0.023,-2.055,0.153,-0.08,0.029,34.096,34.129,0.21,0.198,-0.244,-0.211,n,MCXC J0107.4+3227,0.017,0.017,0.52,0.16,NGC 383,10.74785,0.04405,0.017,Q
